,50.006 User Interface Design and Implementation,50.007 Machine Learning,50.012 Networks,50.017 Graphics and Visualisation,50.020 Network Security,50.021 Artificial Intelligence,50.033 Foundations of Game Design and Development,50.035 Computer Vision,50.036 Foundations of Distributed Autonomous Systems,50.037 Blockchain Technology,50.038 Computational Data Science,50.039 Theory and Practice of Deep Learning,50.040 Natural Language Processing,50.041 Distributed Systems and Computing,50.042 Foundations of Cybersecurity,50.043 Database Systems,50.044 System Security,50.045 Information Retrieval,50.046 Cloud Computing and Internet of Things,50.047 Mobile Robotics,50.048 Computational Fabrication,Service Design Studio,01.116 AI for Healthcare (Term 7),01.117 Brain-Inspired Computing and its Applications (Term 8),40.230 Sustainable Engineering,40.232 Water Resources Management,40.240 Investment Science,40.242 Derivative Pricing and Risk Management,40.260 Supply Chain Management,40.302 Advanced Topics in Optimisation#,40.305 Advanced Topics in Stochastic Modelling#,40.316 Game Theory,40.317 Financial Systems Design,40.318 Supply Chain Digitalisation and Design,40.319 Statistical and Machine Learning,40.320 Airport Systems Planning and Design,40.321 Airport Systems Modelling and Simulation,40.323 Equity Valuation,40.324 Fundamentals of Investing,01.102 Energy Systems and Management,01.104 Networked Life,01.107 Urban Transportation
analysis,0.04269523876751551,0.0,0.08636982564300762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02557354908966298,0.0,0.02051784626599884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04329352509846998,0.0,0.04109477282363043,0.05691397700267355,0.0,0.046739175307175834,0.0,0.03671595321808764,0.0,0.0,0.01608583739111004,0.0,0.07404337453626605,0.0,0.07768712813155754,0.0,0.11420518088286237,0.0,0.0,0.0,0.0
analytic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09855286553498137,0.045325765629471625,0.0,0.0,0.0
analytics,0.10080534727530027,0.21889803475632322,0.0,0.06945905948158444,0.0,0.2962375884331644,0.1314062621016853,0.1304071694578102,0.0,0.05905353256297228,0.2616478825978515,0.0749826954739904,0.03229569506875788,0.04149794941246895,0.0,0.18461322982106193,0.0,0.158675181318755,0.056187617047251504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0703355966427396,0.05779199307361673,0.06262896574725739,0.09835273313981871,0.27851540645705564,0.10476056060736531,0.0,0.2734011571731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
analyze,0.022093105876569742,0.0,0.04469298585873383,0.0,0.0,0.0,0.0,0.0,0.11404577881096994,0.0,0.0,0.0,0.02123435600780793,0.0,0.0,0.0,0.04411879980892493,0.0,0.0,0.0,0.10220322017682433,0.04480539101695652,0.0,0.08505971093496525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016341883934465264,0.040200031586730876,0.0,0.0,0.027179347453906762,0.0,0.0825842329623654,0.0
anarchy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030835831802777054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ancillary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07446137736134942,0.0,0.0,0.0,0.0,0.0,0.0
animation,0.0,0.0,0.0,0.16918350714302915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030439598736314615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
annoy,0.08184486572903643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
answer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10439046576055645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06886099076311364,0.0
